fci_number,cs,en,list_id,cmku_url,cmku_popis_pdf
228,Afgánský chrt,Afghan Hound,280,https://www.cmku.cz/cz/seznam-plemen-159/280,https://www.cmku.cz/data/plemena_popisy/280-afgansky-chrt.pdf
247,Aidi,Aidi,299,https://www.cmku.cz/cz/seznam-plemen-159/299,https://www.cmku.cz/data/plemena_popisy/299-aidi.pdf
7,Airedale terier,Airedale Terrier,7,https://www.cmku.cz/cz/seznam-plemen-159/7,https://www.cmku.cz/data/plemena_popisy/7-airedale-terier.pdf
255,Akita,Akita,307,https://www.cmku.cz/cz/seznam-plemen-159/307,https://www.cmku.cz/data/plemena_popisy/307-akita.pdf
243,Aljašský malamut,Alaskan Malamute,295,https://www.cmku.cz/cz/seznam-plemen-159/295,https://www.cmku.cz/data/plemena_popisy/295-aljassky-malamut.pdf
254,Alpský jezevčíkovitý brakýř,Alpenländische Dachsbracke,306,https://www.cmku.cz/cz/seznam-plemen-159/306,https://www.cmku.cz/data/plemena_popisy/306-alpsky-jezevcikovity-brakyr.pdf
344,Americká akita,American Akita,392,https://www.cmku.cz/cz/seznam-plemen-159/392,https://www.cmku.cz/data/plemena_popisy/392-americka-akita.pdf
925,Americký bezsrstý terier,American Hairless Terrier,423,https://www.cmku.cz/cz/seznam-plemen-159/423,https://www.cmku.cz/data/plemena_popisy/423-americky-bezsrsty-terier.pdf
910,Americký buldok,American Bulldog,410,https://www.cmku.cz/cz/seznam-plemen-159/410,https://www.cmku.cz/data/plemena_popisy/410-americky-buldok.pdf
303,Americký foxhound,American Fox Hound,351,https://www.cmku.cz/cz/seznam-plemen-159/351,https://www.cmku.cz/data/plemena_popisy/351-americky-foxhound.pdf
167,Americký kokršpaněl,American Cocker Spaniel,190,https://www.cmku.cz/cz/seznam-plemen-159/190,https://www.cmku.cz/data/plemena_popisy/190-americky-kokrspanel.pdf
286,Americký stafordširský terier,American Staffordshire Terrier,334,https://www.cmku.cz/cz/seznam-plemen-159/334,https://www.cmku.cz/data/plemena_popisy/334-americky-stafordsirsky-terier.pdf
301,Americký vodní španěl,American Water Spaniel,349,https://www.cmku.cz/cz/seznam-plemen-159/349,https://www.cmku.cz/data/plemena_popisy/349-americky-vodni-spanel.pdf
325,Angl.-franc.honič de Petite Venerie,Anglo-Francais de Petite Venerie,373,https://www.cmku.cz/cz/seznam-plemen-159/373,https://www.cmku.cz/data/plemena_popisy/373-angl-franc-honic-de-petite-venerie.pdf
149,Anglický buldok,Bulldog,172,https://www.cmku.cz/cz/seznam-plemen-159/172,https://www.cmku.cz/data/plemena_popisy/172-anglicky-buldok.pdf
158,Anglický chrt (Greyhound),Greyhound,181,https://www.cmku.cz/cz/seznam-plemen-159/181,https://www.cmku.cz/data/plemena_popisy/181-anglicky-chrt-greyhound.pdf
